machine_type,month,downtime_hours
CT,2022-04,24.71
CT,2022-05,9.5
CT,2022-06,3.45
CT,2022-07,22.94
CT,2022-08,34.58
CT,2022-09,37.04
CT,2022-10,24.02
CT,2022-11,31.06
CT,2023-01,3.5
CT,2023-02,13.78
CT,2023-03,7.17
MRI,2022-04,31.150000000000002
MRI,2022-05,5.66
MRI,2022-07,1.2
MRI,2022-08,18.11
MRI,2022-09,10.67
MRI,2022-10,11.57
MRI,2022-11,5.93
MRI,2022-12,19.529999999999998
MRI,2023-02,13.25
X-ray,2022-04,33.34
X-ray,2022-05,15.02
X-ray,2022-06,15.77
X-ray,2022-07,22.55
X-ray,2022-08,7.93
X-ray,2022-09,35.47
X-ray,2022-11,8.56
X-ray,2023-01,52.7
X-ray,2023-03,14.89
