machine_id,machine_type,hospital_site,install_date,date,daily_usage_hours
MRI-101,MRI,Riverside General,2016-03-12,2022-04-01,8.11
MRI-101,MRI,Riverside General,2016-03-12,2022-04-02,5.98
MRI-101,MRI,Riverside General,2016-03-12,2022-04-03,3.7
MRI-101,MRI,Riverside General,2016-03-12,2022-04-04,8.84
MRI-101,MRI,Riverside General,2016-03-12,2022-04-05,9.69
MRI-101,MRI,Riverside General,2016-03-12,2022-04-06,9.16
MRI-101,MRI,Riverside General,2016-03-12,2022-04-07,8.1
MRI-101,MRI,Riverside General,2016-03-12,2022-04-08,9.08
MRI-101,MRI,Riverside General,2016-03-12,2022-04-09,4.51
MRI-101,MRI,Riverside General,2016-03-12,2022-04-10,3.78
MRI-101,MRI,Riverside General,2016-03-12,2022-04-11,8.75
MRI-101,MRI,Riverside General,2016-03-12,2022-04-12,8.64
MRI-101,MRI,Riverside General,2016-03-12,2022-04-13,8.24
MRI-101,MRI,Riverside General,2016-03-12,2022-04-14,9.77
MRI-101,MRI,Riverside General,2016-03-12,2022-04-15,8.66
MRI-101,MRI,Riverside General,2016-03-12,2022-04-16,4.93
MRI-101,MRI,Riverside General,2016-03-12,2022-04-17,2.79
MRI-101,MRI,Riverside General,2016-03-12,2022-04-18,9.21
MRI-101,MRI,Riverside General,2016-03-12,2022-04-19,9.08
MRI-101,MRI,Riverside General,2016-03-12,2022-04-20,9.12
MRI-101,MRI,Riverside General,2016-03-12,2022-04-21,9.13
MRI-101,MRI,Riverside General,2016-03-12,2022-04-22,10.5
MRI-101,MRI,Riverside General,2016-03-12,2022-04-23,4.95
MRI-101,MRI,Riverside General,2016-03-12,2022-04-24,2.67
MRI-101,MRI,Riverside General,2016-03-12,2022-04-25,8.14
MRI-101,MRI,Riverside General,2016-03-12,2022-04-26,9.28
MRI-101,MRI,Riverside General,2016-03-12,2022-04-27,9.69
MRI-101,MRI,Riverside General,2016-03-12,2022-04-28,8.7
MRI-101,MRI,Riverside General,2016-03-12,2022-04-29,8.12
MRI-101,MRI,Riverside General,2016-03-12,2022-04-30,4.61
MRI-101,MRI,Riverside General,2016-03-12,2022-05-01,3.6
MRI-101,MRI,Riverside General,2016-03-12,2022-05-02,9.38
MRI-101,MRI,Riverside General,2016-03-12,2022-05-03,9.22
MRI-101,MRI,Riverside General,2016-03-12,2022-05-04,8.26
MRI-101,MRI,Riverside General,2016-03-12,2022-05-05,8.97
MRI-101,MRI,Riverside General,2016-03-12,2022-05-06,8.88
MRI-101,MRI,Riverside General,2016-03-12,2022-05-07,5.45
MRI-101,MRI,Riverside General,2016-03-12,2022-05-08,3.77
MRI-101,MRI,Riverside General,2016-03-12,2022-05-09,8.97
MRI-101,MRI,Riverside General,2016-03-12,2022-05-10,9.33
MRI-101,MRI,Riverside General,2016-03-12,2022-05-11,8.84
MRI-101,MRI,Riverside General,2016-03-12,2022-05-12,9.02
MRI-101,MRI,Riverside General,2016-03-12,2022-05-13,9.29
MRI-101,MRI,Riverside General,2016-03-12,2022-05-14,4.11
MRI-101,MRI,Riverside General,2016-03-12,2022-05-15,2.82
MRI-101,MRI,Riverside General,2016-03-12,2022-05-16,8.41
MRI-101,MRI,Riverside General,2016-03-12,2022-05-17,8.28
MRI-101,MRI,Riverside General,2016-03-12,2022-05-18,8.57
MRI-101,MRI,Riverside General,2016-03-12,2022-05-19,9.98
MRI-101,MRI,Riverside General,2016-03-12,2022-05-20,8.1
MRI-101,MRI,Riverside General,2016-03-12,2022-05-21,6.05
MRI-101,MRI,Riverside General,2016-03-12,2022-05-22,1.73
MRI-101,MRI,Riverside General,2016-03-12,2022-05-23,8.52
MRI-101,MRI,Riverside General,2016-03-12,2022-05-24,8.92
MRI-101,MRI,Riverside General,2016-03-12,2022-05-25,9.26
MRI-101,MRI,Riverside General,2016-03-12,2022-05-26,9.36
MRI-101,MRI,Riverside General,2016-03-12,2022-05-27,9.42
MRI-101,MRI,Riverside General,2016-03-12,2022-05-28,4.99
MRI-101,MRI,Riverside General,2016-03-12,2022-05-29,2.71
MRI-101,MRI,Riverside General,2016-03-12,2022-05-30,9.47
MRI-101,MRI,Riverside General,2016-03-12,2022-05-31,8.64
MRI-101,MRI,Riverside General,2016-03-12,2022-06-01,7.77
MRI-101,MRI,Riverside General,2016-03-12,2022-06-02,7.88
MRI-101,MRI,Riverside General,2016-03-12,2022-06-03,8.05
MRI-101,MRI,Riverside General,2016-03-12,2022-06-04,5.67
MRI-101,MRI,Riverside General,2016-03-12,2022-06-05,3.19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-06,9.34
MRI-101,MRI,Riverside General,2016-03-12,2022-06-07,8.45
MRI-101,MRI,Riverside General,2016-03-12,2022-06-08,8.92
MRI-101,MRI,Riverside General,2016-03-12,2022-06-09,9.29
MRI-101,MRI,Riverside General,2016-03-12,2022-06-10,8.54
MRI-101,MRI,Riverside General,2016-03-12,2022-06-11,5.64
MRI-101,MRI,Riverside General,2016-03-12,2022-06-12,2.55
MRI-101,MRI,Riverside General,2016-03-12,2022-06-13,8.5
MRI-101,MRI,Riverside General,2016-03-12,2022-06-14,8.48
MRI-101,MRI,Riverside General,2016-03-12,2022-06-15,7.83
MRI-101,MRI,Riverside General,2016-03-12,2022-06-16,9.18
MRI-101,MRI,Riverside General,2016-03-12,2022-06-17,8.41
MRI-101,MRI,Riverside General,2016-03-12,2022-06-18,5.28
MRI-101,MRI,Riverside General,2016-03-12,2022-06-19,3.46
MRI-101,MRI,Riverside General,2016-03-12,2022-06-20,9.15
MRI-101,MRI,Riverside General,2016-03-12,2022-06-21,9.32
MRI-101,MRI,Riverside General,2016-03-12,2022-06-22,8.71
MRI-101,MRI,Riverside General,2016-03-12,2022-06-23,8.45
MRI-101,MRI,Riverside General,2016-03-12,2022-06-24,8.72
MRI-101,MRI,Riverside General,2016-03-12,2022-06-25,3.92
MRI-101,MRI,Riverside General,2016-03-12,2022-06-26,1.92
MRI-101,MRI,Riverside General,2016-03-12,2022-06-27,7.73
MRI-101,MRI,Riverside General,2016-03-12,2022-06-28,7.99
MRI-101,MRI,Riverside General,2016-03-12,2022-06-29,9.11
MRI-101,MRI,Riverside General,2016-03-12,2022-06-30,8.06
MRI-101,MRI,Riverside General,2016-03-12,2022-07-01,8.49
MRI-101,MRI,Riverside General,2016-03-12,2022-07-02,6.31
MRI-101,MRI,Riverside General,2016-03-12,2022-07-03,2.79
MRI-101,MRI,Riverside General,2016-03-12,2022-07-04,9.38
MRI-101,MRI,Riverside General,2016-03-12,2022-07-05,8.04
MRI-101,MRI,Riverside General,2016-03-12,2022-07-06,8.62
MRI-101,MRI,Riverside General,2016-03-12,2022-07-07,8.03
MRI-101,MRI,Riverside General,2016-03-12,2022-07-08,8.52
MRI-101,MRI,Riverside General,2016-03-12,2022-07-09,5.95
MRI-101,MRI,Riverside General,2016-03-12,2022-07-10,1.69
MRI-101,MRI,Riverside General,2016-03-12,2022-07-11,9.14
MRI-101,MRI,Riverside General,2016-03-12,2022-07-12,8.98
MRI-101,MRI,Riverside General,2016-03-12,2022-07-13,8.31
MRI-101,MRI,Riverside General,2016-03-12,2022-07-14,7.63
MRI-101,MRI,Riverside General,2016-03-12,2022-07-15,8.85
MRI-101,MRI,Riverside General,2016-03-12,2022-07-16,4.85
MRI-101,MRI,Riverside General,2016-03-12,2022-07-17,3.26
MRI-101,MRI,Riverside General,2016-03-12,2022-07-18,8.81
MRI-101,MRI,Riverside General,2016-03-12,2022-07-19,10.07
MRI-101,MRI,Riverside General,2016-03-12,2022-07-20,8.6
MRI-101,MRI,Riverside General,2016-03-12,2022-07-21,7.97
MRI-101,MRI,Riverside General,2016-03-12,2022-07-22,8.93
MRI-101,MRI,Riverside General,2016-03-12,2022-07-23,5.45
MRI-101,MRI,Riverside General,2016-03-12,2022-07-24,4.16
MRI-101,MRI,Riverside General,2016-03-12,2022-07-25,9.46
MRI-101,MRI,Riverside General,2016-03-12,2022-07-26,9.07
MRI-101,MRI,Riverside General,2016-03-12,2022-07-27,9.96
MRI-101,MRI,Riverside General,2016-03-12,2022-07-28,7.84
MRI-101,MRI,Riverside General,2016-03-12,2022-07-29,8.28
MRI-101,MRI,Riverside General,2016-03-12,2022-07-30,4.53
MRI-101,MRI,Riverside General,2016-03-12,2022-07-31,2.76
MRI-101,MRI,Riverside General,2016-03-12,2022-08-01,7.69
MRI-101,MRI,Riverside General,2016-03-12,2022-08-02,9.3
MRI-101,MRI,Riverside General,2016-03-12,2022-08-03,8.61
MRI-101,MRI,Riverside General,2016-03-12,2022-08-04,7.61
MRI-101,MRI,Riverside General,2016-03-12,2022-08-05,7.98
MRI-101,MRI,Riverside General,2016-03-12,2022-08-06,5.52
MRI-101,MRI,Riverside General,2016-03-12,2022-08-07,3.75
MRI-101,MRI,Riverside General,2016-03-12,2022-08-08,10.39
MRI-101,MRI,Riverside General,2016-03-12,2022-08-09,11.12
MRI-101,MRI,Riverside General,2016-03-12,2022-08-10,9.12
MRI-101,MRI,Riverside General,2016-03-12,2022-08-11,8.0
MRI-101,MRI,Riverside General,2016-03-12,2022-08-12,7.08
MRI-101,MRI,Riverside General,2016-03-12,2022-08-13,5.49
MRI-101,MRI,Riverside General,2016-03-12,2022-08-14,2.43
MRI-101,MRI,Riverside General,2016-03-12,2022-08-15,8.46
MRI-101,MRI,Riverside General,2016-03-12,2022-08-16,8.3
MRI-101,MRI,Riverside General,2016-03-12,2022-08-17,8.68
MRI-101,MRI,Riverside General,2016-03-12,2022-08-18,9.64
MRI-101,MRI,Riverside General,2016-03-12,2022-08-19,8.91
MRI-101,MRI,Riverside General,2016-03-12,2022-08-20,5.15
MRI-101,MRI,Riverside General,2016-03-12,2022-08-21,2.25
MRI-101,MRI,Riverside General,2016-03-12,2022-08-22,7.45
MRI-101,MRI,Riverside General,2016-03-12,2022-08-23,8.4
MRI-101,MRI,Riverside General,2016-03-12,2022-08-24,8.75
MRI-101,MRI,Riverside General,2016-03-12,2022-08-25,10.2
MRI-101,MRI,Riverside General,2016-03-12,2022-08-26,8.89
MRI-101,MRI,Riverside General,2016-03-12,2022-08-27,6.06
MRI-101,MRI,Riverside General,2016-03-12,2022-08-28,2.68
MRI-101,MRI,Riverside General,2016-03-12,2022-08-29,7.84
MRI-101,MRI,Riverside General,2016-03-12,2022-08-30,8.02
MRI-101,MRI,Riverside General,2016-03-12,2022-08-31,8.21
MRI-101,MRI,Riverside General,2016-03-12,2022-09-01,10.49
MRI-101,MRI,Riverside General,2016-03-12,2022-09-02,8.13
MRI-101,MRI,Riverside General,2016-03-12,2022-09-03,5.94
MRI-101,MRI,Riverside General,2016-03-12,2022-09-04,2.35
MRI-101,MRI,Riverside General,2016-03-12,2022-09-05,9.53
MRI-101,MRI,Riverside General,2016-03-12,2022-09-06,9.1
MRI-101,MRI,Riverside General,2016-03-12,2022-09-07,8.66
MRI-101,MRI,Riverside General,2016-03-12,2022-09-08,8.76
MRI-101,MRI,Riverside General,2016-03-12,2022-09-09,8.26
MRI-101,MRI,Riverside General,2016-03-12,2022-09-10,5.63
MRI-101,MRI,Riverside General,2016-03-12,2022-09-11,2.71
MRI-101,MRI,Riverside General,2016-03-12,2022-09-12,7.81
MRI-101,MRI,Riverside General,2016-03-12,2022-09-13,7.77
MRI-101,MRI,Riverside General,2016-03-12,2022-09-14,8.93
MRI-101,MRI,Riverside General,2016-03-12,2022-09-15,10.05
MRI-101,MRI,Riverside General,2016-03-12,2022-09-16,8.92
