ticket_id,machine_id,issue_type,reported_date,resolved_date,downtime_hours,technician_id,is_open
TCK-00001,MRI-101,Table motor fault,2022-04-05,2022-04-05 21:55:06.583432080,16.92,TECH-006,False
TCK-00002,MRI-101,Calibration drift,2022-04-13,2022-04-13 20:13:42.072771369,14.23,TECH-006,False
TCK-00003,MRI-101,Software fault,2022-05-30,2022-05-30 06:39:47.889219652,5.66,TECH-002,False
TCK-00004,MRI-101,Table motor fault,2022-08-11,2022-08-11 19:06:44.103738980,18.11,TECH-004,False
TCK-00005,MRI-101,Coil failure,2022-10-02,2022-10-02 14:52:34.194147741,4.88,TECH-001,False
TCK-00006,MRI-101,Calibration drift,2022-10-06,2022-10-06 07:41:39.188590013,6.69,TECH-006,False
TCK-00007,MRI-101,Coil failure,2022-12-21,2023-03-31 00:00:00.000000000,16.24,TECH-006,True
TCK-00008,MRI-101,Coil failure,2023-02-02,2023-02-02 14:51:30.861535369,4.86,TECH-003,False
TCK-00009,MRI-101,Helium/cooling issue,2023-02-06,2023-02-06 17:23:28.767007124,8.39,TECH-004,False
TCK-00010,MRI-102,Helium/cooling issue,2022-07-19,2022-07-19 09:11:48.848877495,1.2,TECH-001,False
TCK-00011,MRI-102,Coil failure,2022-09-20,2022-09-20 20:40:18.170345507,10.67,TECH-002,False
TCK-00012,MRI-103,Table motor fault,2022-11-26,2022-11-26 15:55:48.291190253,5.93,TECH-005,False
TCK-00013,MRI-103,Software fault,2022-12-04,2022-12-04 08:17:24.294062379,3.29,TECH-002,False
TCK-00014,CT-201,Detector fault,2022-04-03,2022-04-03 14:17:46.671762575,11.3,TECH-002,False
TCK-00015,CT-201,Cooling system issue,2022-06-08,2022-06-08 11:07:58.366953247,2.13,TECH-004,False
TCK-00016,CT-201,Tube failure,2022-07-05,2022-07-05 12:23:50.077544658,5.4,TECH-005,False
TCK-00017,CT-201,Detector fault,2022-07-24,2022-07-24 18:12:20.976423425,7.21,TECH-001,False
TCK-00018,CT-201,Calibration drift,2022-09-05,2022-09-06 09:30:28.925446391,29.51,TECH-001,False
TCK-00019,CT-201,Detector fault,2022-11-01,2022-11-01 11:50:54.000251950,8.85,TECH-001,False
TCK-00020,CT-201,Calibration drift,2022-11-02,2022-11-02 14:53:41.757862481,5.89,TECH-006,False
TCK-00021,CT-201,Cooling system issue,2023-01-03,2023-01-03 08:30:00.769761281,3.5,TECH-003,False
TCK-00022,CT-202,Detector fault,2022-04-01,2022-04-01 06:33:04.953856616,6.55,TECH-001,False
TCK-00023,CT-202,Software fault,2022-05-18,2022-05-18 15:30:15.404930435,9.5,TECH-006,False
TCK-00024,CT-202,Calibration drift,2022-07-14,2022-07-14 13:26:27.576935445,5.44,TECH-006,False
TCK-00025,CT-202,Calibration drift,2022-08-13,2022-08-13 19:30:44.555611905,10.51,TECH-005,False
TCK-00026,CT-202,Software fault,2022-08-23,2022-08-24 06:04:00.388677337,24.07,TECH-004,False
TCK-00027,CT-202,Detector fault,2022-09-24,2022-09-24 15:32:05.014650905,7.53,TECH-001,False
TCK-00028,CT-202,Cooling system issue,2022-10-09,2022-10-09 06:04:39.545615183,5.08,TECH-003,False
TCK-00029,CT-202,Tube failure,2022-10-26,2022-10-26 06:57:56.117287726,6.97,TECH-001,False
TCK-00030,CT-202,Calibration drift,2022-10-27,2022-10-27 19:58:24.120638939,11.97,TECH-005,False
TCK-00031,CT-202,Software fault,2022-11-04,2022-11-04 12:34:05.554902656,8.57,TECH-006,False
TCK-00032,CT-202,Calibration drift,2022-11-07,2022-11-07 13:45:14.751476792,7.75,TECH-001,False
TCK-00033,CT-202,Detector fault,2023-02-03,2023-02-03 12:54:37.590601358,1.91,TECH-006,False
TCK-00034,CT-202,Tube failure,2023-03-10,2023-03-31 00:00:00.000000000,1.0,TECH-004,True
TCK-00035,CT-202,Software fault,2023-03-21,2023-03-21 04:33:26.067893208,1.56,TECH-002,False
TCK-00036,CT-203,Software fault,2022-04-30,2022-04-30 08:51:18.755347782,6.86,TECH-005,False
TCK-00037,CT-203,Cooling system issue,2022-06-08,2022-06-08 02:19:16.945334214,1.32,TECH-002,False
TCK-00038,CT-203,Detector fault,2022-07-18,2022-07-18 09:53:11.902374829,4.89,TECH-002,False
TCK-00039,CT-203,Calibration drift,2023-02-16,2023-02-16 16:31:16.273627480,8.52,TECH-004,False
TCK-00040,CT-203,Calibration drift,2023-02-21,2023-02-21 07:21:15.535157762,3.35,TECH-006,False
TCK-00041,CT-203,Cooling system issue,2023-03-22,2023-03-22 13:36:26.462505903,4.61,TECH-005,False
TCK-00042,XR-301,Calibration drift,2022-04-17,2022-04-17 12:27:49.637775923,9.46,TECH-006,False
TCK-00043,XR-301,Generator fault,2022-04-22,2022-04-22 11:18:50.277250740,5.31,TECH-001,False
TCK-00044,XR-301,Generator fault,2022-05-02,2022-05-02 06:23:39.261521635,4.39,TECH-003,False
TCK-00045,XR-301,Calibration drift,2022-06-22,2022-06-22 02:49:43.937471091,2.83,TECH-006,False
TCK-00046,XR-301,Mechanical wear,2022-07-05,2022-07-05 15:33:05.761981765,8.55,TECH-003,False
TCK-00047,XR-301,Detector fault,2022-07-27,2023-03-31 00:00:00.000000000,14.0,TECH-004,True
TCK-00048,XR-301,Generator fault,2022-09-17,2022-09-17 21:08:12.041159708,18.14,TECH-003,False
TCK-00049,XR-301,Calibration drift,2022-09-21,2022-09-21 14:52:33.254020005,12.88,TECH-005,False
TCK-00050,XR-301,Mechanical wear,2023-01-03,2023-01-03 12:43:14.845275898,5.72,TECH-005,False
TCK-00051,XR-301,Mechanical wear,2023-01-16,2023-01-16 10:08:45.619089209,5.15,TECH-004,False
TCK-00052,XR-302,Generator fault,2022-04-19,2022-04-20 03:33:59.089185961,18.57,TECH-002,False
TCK-00053,XR-302,Mechanical wear,2022-05-11,2022-05-11 12:38:04.867361264,10.63,TECH-005,False
TCK-00054,XR-302,Generator fault,2022-06-04,2022-06-04 22:56:06.786343513,12.94,TECH-003,False
TCK-00055,XR-302,Calibration drift,2022-09-07,2022-09-07 14:27:12.140630506,4.45,TECH-006,False
TCK-00056,XR-302,Mechanical wear,2022-11-25,2022-11-25 12:33:35.131790901,8.56,TECH-002,False
TCK-00057,XR-302,Generator fault,2023-01-20,2023-01-21 07:39:25.736002405,26.66,TECH-006,False
TCK-00058,XR-303,Mechanical wear,2022-08-16,2022-08-16 13:55:53.262290675,7.93,TECH-001,False
TCK-00059,XR-303,Calibration drift,2023-01-12,2023-01-12 12:01:14.213067021,4.02,TECH-003,False
TCK-00060,XR-303,Detector fault,2023-01-13,2023-01-13 13:09:14.290799126,11.15,TECH-003,False
TCK-00061,XR-303,Mechanical wear,2023-03-02,2023-03-02 22:53:40.248179664,14.89,TECH-001,False
