machine_id,machine_type,hospital_site,install_date,date,daily_usage_hours,age_years,manufacturer,last_service_date
MRI-101,MRI,Riverside General,2016-03-12,2022-04-01,8.11,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-02,5.98,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-03,3.7,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-04,8.84,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-05,9.69,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-06,9.16,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-07,8.1,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-08,9.08,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-09,4.51,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-10,3.78,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-11,8.75,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-12,8.64,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-13,8.24,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-14,9.77,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-15,8.66,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-16,4.93,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-17,2.79,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-18,9.21,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-19,9.08,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-20,9.12,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-21,9.13,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-22,10.5,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-23,4.95,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-24,2.67,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-25,8.14,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-26,9.28,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-27,9.69,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-28,8.7,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-29,8.12,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-04-30,4.61,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-01,3.6,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-02,9.38,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-03,9.22,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-04,8.26,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-05,8.97,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-06,8.88,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-07,5.45,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-08,3.77,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-09,8.97,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-10,9.33,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-11,8.84,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-12,9.02,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-13,9.29,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-14,4.11,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-15,2.82,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-16,8.41,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-17,8.28,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-18,8.57,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-19,9.98,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-20,8.1,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-21,6.05,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-22,1.73,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-23,8.52,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-24,8.92,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-25,9.26,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-26,9.36,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-27,9.42,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-28,4.99,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-29,2.71,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-30,9.47,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-05-31,8.64,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-01,7.77,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-02,7.88,7.05,GE HealthCare,2023-03-19
