hospital_site,month,daily_usage_hours
Lakeview Medical Center,2022-04,862.5600000000001
Lakeview Medical Center,2022-05,860.49
Lakeview Medical Center,2022-06,867.85
Lakeview Medical Center,2022-07,854.8149999999999
Lakeview Medical Center,2022-08,894.16
Lakeview Medical Center,2022-09,860.76
Lakeview Medical Center,2022-10,860.2
Lakeview Medical Center,2022-11,861.165
Lakeview Medical Center,2022-12,881.28
Lakeview Medical Center,2023-01,883.625
Lakeview Medical Center,2023-02,779.29
Lakeview Medical Center,2023-03,897.36
Riverside General,2022-04,845.88
Riverside General,2022-05,864.29
Riverside General,2022-06,852.41
Riverside General,2022-07,858.99
Riverside General,2022-08,894.25
Riverside General,2022-09,871.72
Riverside General,2022-10,834.2
Riverside General,2022-11,860.83
Riverside General,2022-12,877.76
Riverside General,2023-01,878.26
Riverside General,2023-02,806.23
Riverside General,2023-03,900.08
St. Anne's Hospital,2022-04,836.9300000000001
St. Anne's Hospital,2022-05,893.6
St. Anne's Hospital,2022-06,865.94
St. Anne's Hospital,2022-07,864.47
St. Anne's Hospital,2022-08,893.99
St. Anne's Hospital,2022-09,878.44
St. Anne's Hospital,2022-10,882.9
St. Anne's Hospital,2022-11,879.535
St. Anne's Hospital,2022-12,890.76
St. Anne's Hospital,2023-01,896.125
St. Anne's Hospital,2023-02,814.3
St. Anne's Hospital,2023-03,904.115
